配偶者の合計所得金額	納税者本人の合計所得金額	col3	col4
	900以下	950以下	1000以下
0	#N/A	#N/A	#N/A
48	38	26	13
95	36	24	12
100	31	21	11
105	26	18	9
110	21	14	7
115	16	11	6
120	11	8	4
125	6	4	2
130	3	2	1
133	3	2	1
134	#N/A	#N/A	#N/A
