扶養親族等の数	所得制限限度額	所得上限限度額
0人	622万/年	858万/年
1人	660万/年	896万/年
2人	698万/年	934万/年
3人	736万/年	972万/年
4人	774万/年	1010万/年
5人	812万/年	1048万/年
