給与収入額	給与所得控除	給与所得額
748	184.8	563.2
750	185	565
752	185.2	566.8
754	185.4	568.6
756	185.6	570.4
758	185.8	572.2
760	186	574
762	186.2	575.8
764	186.4	577.6
766	186.6	579.4
768	186.8	581.2
770	187	583
772	187.2	584.8
774	187.4	586.6
776	187.6	588.4
778	187.8	590.2
780	188	592
782	188.2	593.8
784	188.4	595.6
786	188.6	597.4
788	188.8	599.2
790	189	601
792	189.2	602.8
794	189.4	604.6
796	189.6	606.4
798	189.8	608.2
800	190	610
802	190.2	611.8
804	190.4	613.6
806	190.6	615.4
808	190.8	617.2
810	191	619
812	191.2	620.8
814	191.4	622.6
816	191.6	624.4
818	191.8	626.2
820	192	628
822	192.2	629.8
824	192.4	631.6
826	192.6	633.4
828	192.8	635.2
830	193	637
832	193.2	638.8
834	193.4	640.6
836	193.6	642.4
838	193.8	644.2
840	194	646
842	194.2	647.8
844	194.4	649.6
846	194.6	651.4
848	194.8	653.2
850	195	655
852	195	657
854	195	659
856	195	661
858	195	663
860	195	665
862	195	667
864	195	669
866	195	671
868	195	673
870	195	675
872	195	677
874	195	679
876	195	681
878	195	683
880	195	685
882	195	687
884	195	689
886	195	691
888	195	693
890	195	695
892	195	697
894	195	699
896	195	701
898	195	703
900	195	705
902	195	707
904	195	709
906	195	711
908	195	713
910	195	715
912	195	717
914	195	719
916	195	721
918	195	723
920	195	725
922	195	727
924	195	729
926	195	731
928	195	733
930	195	735
932	195	737
934	195	739
936	195	741
938	195	743
940	195	745
942	195	747
944	195	749
946	195	751
948	195	753
950	195	755
952	195	757
954	195	759
956	195	761
958	195	763
960	195	765
962	195	767
964	195	769
966	195	771
968	195	773
970	195	775
972	195	777
974	195	779
976	195	781
978	195	783
980	195	785
982	195	787
984	195	789
986	195	791
988	195	793
990	195	795
992	195	797
994	195	799
996	195	801
998	195	803
1000	195	805
1002	195	807
1004	195	809
1006	195	811
1008	195	813
1010	195	815
1012	195	817
1014	195	819
1016	195	821
1018	195	823
1020	195	825
1022	195	827
1024	195	829
1026	195	831
1028	195	833
1030	195	835
1032	195	837
1034	195	839
1036	195	841
1038	195	843
1040	195	845
1042	195	847
1044	195	849
1046	195	851
1048	195	853
1050	195	855
1052	195	857
1054	195	859
1056	195	861
1058	195	863
1060	195	865
1062	195	867
1064	195	869
1066	195	871
1068	195	873
1070	195	875
1072	195	877
1074	195	879
1076	195	881
1078	195	883
1080	195	885
1082	195	887
1084	195	889
1086	195	891
1088	195	893
1090	195	895
1092	195	897
1094	195	899
1096	195	901
1098	195	903
1100	195	905
1102	195	907
1104	195	909
1106	195	911
1108	195	913
1110	195	915
1112	195	917
1114	195	919
1116	195	921
1118	195	923
1120	195	925
1122	195	927
1124	195	929
1126	195	931
1128	195	933
1130	195	935
1132	195	937
1134	195	939
1136	195	941
1138	195	943
1140	195	945
1142	195	947
1144	195	949
1146	195	951
1148	195	953
1150	195	955
1152	195	957
1154	195	959
1156	195	961
1158	195	963
1160	195	965
1162	195	967
1164	195	969
1166	195	971
1168	195	973
1170	195	975
1172	195	977
1174	195	979
1176	195	981
1178	195	983
1180	195	985
1182	195	987
1184	195	989
1186	195	991
1188	195	993
1190	195	995
1192	195	997
1194	195	999
1196	195	1001
1198	195	1003
1200	195	1005
1202	195	1007
1204	195	1009
1206	195	1011
1208	195	1013
1210	195	1015
1212	195	1017
1214	195	1019
1216	195	1021
1218	195	1023
1220	195	1025
1222	195	1027
1224	195	1029
1226	195	1031
1228	195	1033
1230	195	1035
1232	195	1037
1234	195	1039
1236	195	1041
1238	195	1043
1240	195	1045
1242	195	1047
1244	195	1049
