和暦	西暦	実際の保険料額[円]	保険料額[万円]
平成17年度	2005	13580	1.358
18年度	2006	13860	1.386
19年度	2007	14100	1.41
20年度	2008	14410	1.441
21年度	2009	14660	1.466
22年度	2010	15100	1.51
23年度	2011	15020	1.502
24年度	2012	14980	1.498
25年度	2013	15040	1.504
26年度	2014	15250	1.525
27年度	2015	15590	1.559
28年度	2016	16260	1.626
29年度	2017	16490	1.649
30年度	2018	16340	1.634
令和元年度	2019	16410	1.641
2年度	2020	16540	1.654
3年度	2021	16610	1.661
4年度	2022	16590	1.659
5年度	2023	16520	1.652
