収入金額	所得金額
1246	1051
1248	1053
1250	1055
1252	1057
1254	1059
1256	1061
1258	1063
1260	1065
1262	1067
1264	1069
1266	1071
1268	1073
1270	1075
1272	1077
1274	1079
1276	1081
1278	1083
1280	1085
1282	1087
1284	1089
1286	1091
1288	1093
1290	1095
1292	1097
1294	1099
1296	1101
1298	1103
1300	1105
1302	1107
1304	1109
1306	1111
1308	1113
1310	1115
1312	1117
1314	1119
1316	1121
1318	1123
1320	1125
1322	1127
1324	1129
1326	1131
1328	1133
1330	1135
1332	1137
1334	1139
1336	1141
1338	1143
1340	1145
1342	1147
1344	1149
1346	1151
1348	1153
1350	1155
1352	1157
1354	1159
1356	1161
1358	1163
1360	1165
1362	1167
1364	1169
1366	1171
1368	1173
1370	1175
1372	1177
1374	1179
1376	1181
1378	1183
1380	1185
1382	1187
1384	1189
1386	1191
1388	1193
1390	1195
1392	1197
1394	1199
1396	1201
1398	1203
1400	1205
1402	1207
1404	1209
1406	1211
1408	1213
1410	1215
1412	1217
1414	1219
1416	1221
1418	1223
1420	1225
1422	1227
1424	1229
1426	1231
1428	1233
1430	1235
1432	1237
1434	1239
1436	1241
1438	1243
1440	1245
1442	1247
1444	1249
1446	1251
1448	1253
1450	1255
1452	1257
1454	1259
1456	1261
1458	1263
1460	1265
1462	1267
1464	1269
1466	1271
1468	1273
1470	1275
1472	1277
1474	1279
1476	1281
1478	1283
1480	1285
1482	1287
1484	1289
1486	1291
1488	1293
1490	1295
1492	1297
1494	1299
1496	1301
1498	1303
1500	1305
1502	1307
1504	1309
1506	1311
1508	1313
1510	1315
1512	1317
1514	1319
1516	1321
1518	1323
1520	1325
1522	1327
1524	1329
1526	1331
1528	1333
1530	1335
1532	1337
1534	1339
1536	1341
1538	1343
1540	1345
1542	1347
1544	1349
1546	1351
1548	1353
1550	1355
1552	1357
1554	1359
1556	1361
1558	1363
1560	1365
1562	1367
1564	1369
1566	1371
1568	1373
1570	1375
1572	1377
1574	1379
1576	1381
1578	1383
1580	1385
1582	1387
1584	1389
1586	1391
1588	1393
1590	1395
1592	1397
1594	1399
1596	1401
1598	1403
1600	1405
1602	1407
1604	1409
1606	1411
1608	1413
1610	1415
1612	1417
1614	1419
1616	1421
1618	1423
1620	1425
1622	1427
1624	1429
1626	1431
1628	1433
1630	1435
1632	1437
1634	1439
1636	1441
1638	1443
1640	1445
1642	1447
1644	1449
1646	1451
1648	1453
1650	1455
1652	1457
1654	1459
1656	1461
1658	1463
1660	1465
