西暦	給与収入[円/年]	賞与収入[円/年]	賞与回数[回/年]	週所定労働時間[時間/週]	通常労働者週所定労働時間[時間/週]	特定適用事業所区分	事業収入[円/年]	事業必要経費[円/年]	少額減価償却資産取得価額[円/年]	青色申告区分	育休月数[月]
2020	3,182,000	519,000	2	40	40	該当	0	0	0	白色申告	0
2022	3,108,000	507,000	2	40	40	該当	0	0	0	白色申告	0
2027	3,021,000	492,000	2	40	40	該当	0	0	0	白色申告	0
2032	3,089,000	504,000	2	40	40	該当	0	0	0	白色申告	0
2037	3,169,000	517,000	2	40	40	該当	0	0	0	白色申告	0
2042	3,125,000	509,000	2	40	40	該当	0	0	0	白色申告	0
2047	3,063,000	499,000	2	40	40	該当	0	0	0	白色申告	0
2052	2,527,000	412,000	2	40	40	該当	0	0	0	白色申告	0
2057	0	0	0	0	40	該当	0	0	0	白色申告	0
