西暦	給与収入[円/年]	賞与収入[円/年]	賞与回数[回/年]	週所定労働時間[時間/週]	通常労働者週所定労働時間[時間/週]	特定適用事業所区分	事業収入[円/年]	事業必要経費[円/年]	少額減価償却資産取得価額[円/年]	青色申告区分	育休月数[月]
2020 3,701,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
2022 3,615,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
2027 3,513,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
2032 3,593,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
2037 3,686,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
2042 3,634,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
2047 3,562,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
2052 2,939,000	0	0	0	0	40	該当		200,000	0	青色申告（複式・電子帳簿保存またはe-Tax）	0
