区分	所得税控除額[円]	住民税控除額[円]	適用開始年	適用終了年	出典
障害者	270000	260000	2017	無期限	所得税法（昭和四十年法律第三十三号）第79条第1項・第2項、地方税法（昭和二十五年法律第二百二十六号）第34条第1項第6号。原文の引用は README.md「障害者控除の 3 区分は条文が定めている」。原本は testdata/law/egov/所得税法-第79条.xml・地方税法-第34条.xml
特別障害者	400000	300000	2017	無期限	所得税法第79条第1項・第2項の括弧書き、地方税法第34条第1項第6号の括弧書き。原文の引用は README.md「障害者控除の 3 区分は条文が定めている」。原本は testdata/law/egov/所得税法-第79条.xml・地方税法-第34条.xml
同居特別障害者	750000	530000	2017	無期限	所得税法第79条第3項、地方税法第34条第3項。原文の引用は README.md「障害者控除の 3 区分は条文が定めている」。原本は testdata/law/egov/所得税法-第79条.xml・地方税法-第34条.xml
