適用開始年	所得要件[円]	適用終了年	出典
2017	380000	2019	所得税法（昭和四十年法律第三十三号）第2条第1項第33号「合計所得金額が三十八万円以下である者」。平成29年4月時点の語は 同一生計配偶者 ではなく 控除対象配偶者 である。原文の引用は README.md「配偶者の所得要件は条文が定めている」。原本は testdata/law/egov/所得税法-第2条-令和元年分.xml（下限は 所得税法-第2条-平成29年4月.xml）
2020	480000	2024	所得税法（昭和四十年法律第三十三号）第2条第1項第33号「合計所得金額が四十八万円以下である者」。原文の引用は README.md「配偶者の所得要件は条文が定めている」。原本は testdata/law/egov/所得税法-第2条-令和6年分.xml
2025	580000	無期限	所得税法（昭和四十年法律第三十三号）第2条第1項第33号「合計所得金額が五十八万円以下である者」。原文の引用は README.md「配偶者の所得要件は条文が定めている」。原本は testdata/law/egov/所得税法-第2条.xml
