経過年数	経年減点補正率	適用開始年	適用終了年	出典
15	47.78%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
16	45.93%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
17	44.07%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
18	42.22%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
19	40.37%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
20	38.52%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
21	36.67%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
22	34.81%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
23	32.96%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
24	31.11%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
25	29.26%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
26	27.41%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
27	25.56%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
28	23.70%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
29	21.85%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
30	20.00%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
