自治体	都道府県	適用開始年	適用終了年	出典
世田谷区	東京都	不明	無期限	総務省「都道府県コード及び市区町村コード」（令和6年1月1日更新）シート R6.1.1現在の団体 の「131121 東京都 世田谷区」 https://www.soumu.go.jp/main_content/000925835.xlsx。原本は testdata/law/soumu/prefecture-municipality-code.md
八王子市	東京都	不明	無期限	総務省「都道府県コード及び市区町村コード」（令和6年1月1日更新）シート R6.1.1現在の団体 の「132012 東京都 八王子市」 https://www.soumu.go.jp/main_content/000925835.xlsx。原本は testdata/law/soumu/prefecture-municipality-code.md
