適用開始年	満額[円/年]	適用終了年	出典
2025	831700	2025	厚生労働省「令和７年度の年金額改定についてお知らせします」の老齢基礎年金（満額・１人分）月額 69,308 円。年額は国民年金法（昭和三十四年法律第百四十一号）第27条の 780,900 円 × 改定率（50円未満切捨・50円以上100円未満切上）で、月額はそれを 12 で割って円未満を切り捨てたもの。原文の引用は README.md「老齢基礎年金の満額」。原本は testdata/law/egov/国民年金法-第27条.xml と testdata/law/nenkin-kaitei/
2026	847300	無期限	厚生労働省「令和８年度の年金額改定についてお知らせします」の老齢基礎年金（満額・１人分）月額 70,608 円。年額は国民年金法（昭和三十四年法律第百四十一号）第27条の 780,900 円 × 改定率（50円未満切捨・50円以上100円未満切上）で、月額はそれを 12 で割って円未満を切り捨てたもの。原文の引用は README.md「老齢基礎年金の満額」。原本は testdata/law/egov/国民年金法-第27条.xml と testdata/law/nenkin-kaitei/
