適用開始年	区分	所得割率	均等割[円/人]	平等割[円/世帯]	課税限度額[円]	適用終了年	出典
2025	医療分	7.73%	44000	0	660000	2025	八王子市「令和8年度(2026年度)国民健康保険税についての改正点」の改正前（令和7年度）の欄。原本は testdata/law/hachioji/kokuho-kaiseiten.md
2026	医療分	7.42%	42500	0	670000	無期限	八王子市「年間保険税の決め方（令和8年度(2026年度)）」。原本は testdata/law/hachioji/kokuho-kimekata.md
2025	後期支援分	2.83%	17400	0	260000	2025	八王子市「令和8年度(2026年度)国民健康保険税についての改正点」の改正前（令和7年度）の欄。原本は testdata/law/hachioji/kokuho-kaiseiten.md
2026	後期支援分	2.85%	17800	0	260000	無期限	八王子市「年間保険税の決め方（令和8年度(2026年度)）」。原本は testdata/law/hachioji/kokuho-kimekata.md
2025	介護分	2.42%	18800	0	170000	2025	八王子市「令和8年度(2026年度)国民健康保険税についての改正点」の改正前（令和7年度）の欄。原本は testdata/law/hachioji/kokuho-kaiseiten.md
2026	介護分	2.41%	18000	0	170000	無期限	八王子市「年間保険税の決め方（令和8年度(2026年度)）」。原本は testdata/law/hachioji/kokuho-kimekata.md
2026	子ども子育て支援分	0.30%	1900	0	30000	無期限	八王子市「年間保険税の決め方（令和8年度(2026年度)）」。原本は testdata/law/hachioji/kokuho-kimekata.md。均等割は「1,900円（内訳1,800円+100円）」で、100 円は 18 歳以上被保険者均等割額である
