適用開始年	県民税均等割[円]	市民税均等割[円]	適用終了年	出典
不明	1500	3500	2023	均等割の 500 円 × 2 の加算は東日本大震災からの復興に関し地方公共団体が実施する防災のための施策に必要な財源の確保に係る地方税の臨時特例に関する法律第2条（平成26年度〜令和5年度）。原本は testdata/law/hachioji/zeikin-keisan.md
2024	1000	3000	無期限	八王子市「税額の計算方法」均等割額・森林環境税額＝市民税（3,000円）＋都民税（1,000円）＋森林環境税（1,000円）。森林環境税は national/forest-environment-tax.tsv が持つ。原本は testdata/law/hachioji/zeikin-keisan.md
